empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
BREDYS LUZ LUNA MURILLO,BREDYS LUZ MARINA MURILO,BARRIO OBRERO DIAGONAL SALON COMUNAL,512 04 05,San andrés,CABOTAJE PUBLICO
BUNKERSOIL COLOMBIA S.A.,EDGAR VANEGAS SILVA,BOCAGRANDE CARRERA 3 #6A-100,0756 659263/4,Cartagena,INTERNACIONAL PUBLICO
BUNKERSOIL COLOMBIA S.A.,EDGAR VANEGAS SILVA,BOCAGRANDE CARRERA 3 #6A-100,0756 659263/4,Cartagena,CABOTAJE PUBLICO
BUSTOS PALACIOS LUIS ANGEL,LUIS ANGEL BUSTOS PALACIOS,PUERTO PALMA IMBILI SAN ANDRES DE TUMACO,3122725262,Tumaco,CABOTAJE PUBLICO
C I  ISLA DORADA CIA LTDA,LUIS MARIANO BUITRAGO GARCES,CALLE DEL COMERCIO,927272415,Tumaco,CABOTAJE PRIVADO
C.I. ECOENERGETICOS S.A.S,MARFA NYDIA CORDOBA CASTILLO,AV. SIMON BOLIVAR # 6-30 KM 5 SECTOR INTERIOR GRAN,2424128,Buenaventura,INTERNACIONAL PUBLICO
C.I. ECOENERGETICOS S.A.S,MARFA NYDIA CORDOBA CASTILLO,AV. SIMON BOLIVAR # 6-30 KM 5 SECTOR INTERIOR GRAN,2424128,Buenaventura,CABOTAJE PUBLICO
C.I. FERROMARINA S.A.S.,WILLIAM ALEXANDER CLAVIJO RAMIREZ,CARRERA 2 9-145 EDIFICIO NAUTILUS PISO 14,655 28 73,Cartagena,CABOTAJE PUBLICO
C.I. FUEL SERVICES S.A.,GIOVANNI ESCRUCERIA LLORENTE,HOLGUINES TRADE CENTER CARRERA 100 # 11-60 OF. 612,725240320,Buenaventura,CABOTAJE PUBLICO
C.I. INTERNATIONAL FUELS LTDA,OCHOA MUÑOZ JAIME ALBERTO,CALLE 77B #59-61 OF. 1101,3693777 3694650,Barranquilla,INTERNACIONAL PUBLICO
C.I. INTERNATIONAL FUELS LTDA,OCHOA MUÑOZ JAIME ALBERTO,CALLE 77B #59-61 OF. 1101,3693777 3694650,Barranquilla,CABOTAJE PUBLICO
C.I. MASTER BUNKER & ASOCIADOS LTDA,JOSE ORLANDO BERMUDEZ OVALLE,BARRIO BELLAVISTA CALLE 6 # 57-32,571090 - 677132,Cartagena,CABOTAJE PUBLICO
CABEZAS REALPE JONATHAN FRANKLIN,CABEZAS REALPE JONATHAN FRANKLIN,VEREDA PUERTO PALMAS,3113637952,Tumaco,INTERNACIONAL PUBLICO
CABEZAS REALPE JONATHAN FRANKLIN,CABEZAS REALPE JONATHAN FRANKLIN,VEREDA PUERTO PALMAS,3113637952,Tumaco,CABOTAJE PUBLICO
CALIPSO DEL PACIFICO LTDA,RICARDO RIVERA MONTENEGRO,CENTRO COMERCIAL VALLE DE ATRIZ OFICINA 403 Y 407,092 731 59 81,Bogotá,INTERNACIONAL PUBLICO
CAMILO ANTONIO MORELOS,CAMILO ANTONIO MORELOS,CENTRO COMERCIAL SAN DIEGO OFICINA 213,827 51 66,Turbo,CABOTAJE PUBLICO
CANDELO SUAREZ BERMARYS,BERMARYS CANELO SUAREZ,CARRERA 1 NO. 615 BARRIO EL COMERCIO EL CHARCO,3108313257,Buenaventura,CABOTAJE PUBLICO
CARGO WORLD CENTER S.A.S.,SILVIA LETICIA ABUCHAR GONZALEZ,CARRERA 13 #100-25,094 8274885,Turbo,INTERNACIONAL PUBLICO
CARGO WORLD CENTER S.A.S.,SILVIA LETICIA ABUCHAR GONZALEZ,CARRERA 13 #100-25,094 8274885,Turbo,CABOTAJE PUBLICO
CARIBBEAN STAR SHIPPING S.A.S,HAISHA ENGLEHARD ARCHBOLD,TRANSVERSAL 44 # 99-115 APT 301,3153907112,San andrés,CABOTAJE PUBLICO
CARLOS ALBERTO DIAZ ANDRADE,CARLOS ALBERTO DIAZ ANDRADE,CALLE EL COMERCIO MUELLE LOS POLOS,727 02 71,Tumaco,INTERNACIONAL PUBLICO
CARLOS ALBERTO DIAZ ANDRADE,CARLOS ALBERTO DIAZ ANDRADE,CALLE EL COMERCIO MUELLE LOS POLOS,727 02 71,Tumaco,CABOTAJE PUBLICO
CARTAGENA CRUISES S.A.,DAG GUNNAR EGEBERG,MUELLE BODEGITA CENTRO CARTAGENA,3004487682,Cartagena,CABOTAJE PUBLICO
CARTAGENA CRUISES S.A.,DAG GUNNAR EGEBERG,MUELLE BODEGITA CENTRO CARTAGENA,3004487682,Cartagena,CABOTAJE PUBLICO
